Level II,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,F,x
4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,P1,x,x,x,x
6,x,x,x,Player,x,x,x,x,E1,x,x,x,P1,x,x,x,x,x,x
7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
13,x,x,x,x,x,x,D1,x,x,x,x,x,x,x,x,x,x,x,x
14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
15,x,x,x,x,x,x,x,x,x,x,x,x,x,E2,x,x,x,x,x
16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
17,x,L,x,x,x,x,x,x,x,x,F,x,x,x,D2,x,x,x,x
18,x,x,x,x,x,x,F,x,x,x,x,x,x,x,x,x,x,x,x
19,x,x,P2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
20,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
